"";"X";"Project";"Year";"Location";"Trap";"Intervall2";"timepoint";"ID";"Intervall";"Fangtage";"species";"sex";"number";"sella_score"
"908";1255;"NE";21;10;"PG";"J";"2459336";"NE.21.10.PG.J.2459336";"daily";1;"0";"0";0;"0"
"909";1256;"NE";21;10;"PG";"J";"2459340";"NE.21.10.PG.J.2459340";"daily";1;"0";"0";0;"0"
"910";1257;"NE";21;10;"PG";"J";"2459344";"NE.21.10.PG.J.2459344";"daily";1;"0";"0";0;"0"
"911";1258;"NE";21;10;"PG";"J";"2459345";"NE.21.10.PG.J.2459345";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"912";1259;"NE";21;10;"PG";"J";"2459341";"NE.21.10.PG.J.2459341";"daily";3;"0";"0";0;"0"
"913";1260;"NE";21;10;"PG";"J";"2459327";"NE.21.10.PG.J.2459327";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"914";1261;"NE";21;10;"PG";"J";"2459338";"NE.21.10.PG.J.2459338";"daily";1;"0";"0";0;"0"
"915";1263;"NE";21;10;"PG";"J";"2459335";"NE.21.10.PG.J.2459335";"daily";1;"0";"0";0;"0"
"916";1264;"NE";21;10;"PG";"J";"2459329";"NE.21.10.PG.J.2459329";"daily";1;"0";"0";0;"0"
"917";1265;"NE";21;10;"PG";"J";"2459331";"NE.21.10.PG.J.2459331";"daily";1;"0";"0";0;"0"
"918";1266;"NE";21;10;"PG";"J";"2459334";"NE.21.10.PG.J.2459334";"daily";1;"0";"0";0;"0"
"919";1267;"NE";21;10;"PG";"J";"2459332";"NE.21.10.PG.J.2459332";"daily";1;"0";"0";0;"0"
"920";1268;"NE";21;10;"PG";"J";"2459330";"NE.21.10.PG.J.2459330";"daily";1;"0";"0";0;"0"
"921";1269;"NE";21;10;"PG";"J";"2459326";"NE.21.10.PG.J.2459326";"daily";1;"0";"0";0;"0"
"922";1270;"NE";21;10;"PG";"J";"2459337";"NE.21.10.PG.J.2459337";"daily";1;"0";"0";0;"0"
"923";1271;"NE";21;10;"PG";"J";"2459386";"NE.21.10.PG.J.2459386";"daily";1;"0";"0";0;"0"
"924";1272;"NE";21;10;"PG";"J";"2459385";"NE.21.10.PG.J.2459385";"daily";1;"0";"0";0;"0"
"925";1273;"NE";21;10;"PG";"J";"2459383";"NE.21.10.PG.J.2459383";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"926";1274;"NE";21;10;"PG";"J";"2459383";"NE.21.10.PG.J.2459383";"daily";1;"Ae. albopictus";"female";1;"0"
"927";1275;"NE";21;10;"PG";"J";"2459388";"NE.21.10.PG.J.2459388";"daily";1;"Ae. vexans";"female";2;"0"
"928";1276;"NE";21;10;"PG";"J";"2459388";"NE.21.10.PG.J.2459388";"daily";1;"Ae. sticticus";"female";1;"0"
"929";1277;"NE";21;10;"PG";"J";"2459388";"NE.21.10.PG.J.2459388";"daily";1;"Ae. albopictus";"female";1;"0"
"930";1278;"NE";21;10;"PG";"J";"2459387";"NE.21.10.PG.J.2459387";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"931";1279;"NE";21;10;"PG";"J";"2459387";"NE.21.10.PG.J.2459387";"daily";1;"Ae. vexans";"female";1;"0"
"932";1280;"NE";21;10;"PG";"J";"2459389";"NE.21.10.PG.J.2459389";"daily";1;"Ae. vexans";"female";2;"0"
"933";1281;"NE";21;10;"PG";"J";"2459389";"NE.21.10.PG.J.2459389";"daily";1;"Cx. spec.";"female";1;"0"
"934";1282;"NE";21;10;"PG";"J";"2459380";"NE.21.10.PG.J.2459380";"daily";1;"0";"0";0;"0"
"935";1283;"NE";21;10;"PG";"J";"2459376";"NE.21.10.PG.J.2459376";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"936";1284;"NE";21;10;"PG";"J";"2459382";"NE.21.10.PG.J.2459382";"daily";1;"Ae. caspius";"female";1;"0"
"937";1285;"NE";21;10;"PG";"J";"2459381";"NE.21.10.PG.J.2459381";"daily";1;"Cs. annulata";"female";1;"0"
"938";1286;"NE";21;10;"PG";"J";"2459379";"NE.21.10.PG.J.2459379";"daily";1;"0";"0";0;"0"
"939";1287;"NE";21;10;"PG";"J";"2459377";"NE.21.10.PG.J.2459377";"daily";1;"0";"0";0;"0"
"940";1288;"NE";21;10;"PG";"J";"2459374";"NE.21.10.PG.J.2459374";"daily";1;"Cx. pipiens s.l.";"female";1;"4"
"941";1289;"NE";21;10;"PG";"J";"2459375";"NE.21.10.PG.J.2459375";"daily";1;"0";"0";0;"0"
"942";1291;"NE";21;10;"PG";"J";"2459413";"NE.21.10.PG.J.2459413";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"943";1292;"NE";21;10;"PG";"J";"2459413";"NE.21.10.PG.J.2459413";"daily";1;"Ae. vexans";"female";1;"0"
"944";1293;"NE";21;10;"PG";"J";"2459414";"NE.21.10.PG.J.2459414";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"945";1294;"NE";21;10;"PG";"J";"2459414";"NE.21.10.PG.J.2459414";"daily";1;"Ae. vexans";"female";7;"0"
"946";1295;"NE";21;10;"PG";"J";"2459414";"NE.21.10.PG.J.2459414";"daily";1;"Ae. albopictus";"female";2;"0"
"947";1296;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"948";1297;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"949";1298;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Cx. pipiens s.l.";"female";1;"4"
"950";1299;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Ae. vexans";"female";1;"0"
"951";1300;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Ae. japonicus";"female";1;"0"
"952";1301;"NE";21;10;"PG";"J";"2459412";"NE.21.10.PG.J.2459412";"daily";1;"Ae. albopictus";"female";8;"0"
"953";1302;"NE";21;10;"PG";"J";"2459415";"NE.21.10.PG.J.2459415";"daily";1;"Cx. pipiens s.l.";"female";12;"0"
"954";1303;"NE";21;10;"PG";"J";"2459415";"NE.21.10.PG.J.2459415";"daily";1;"Cx. spec.";"female";1;"0"
"955";1304;"NE";21;10;"PG";"J";"2459415";"NE.21.10.PG.J.2459415";"daily";1;"Ae. vexans";"female";3;"0"
"956";1305;"NE";21;10;"PG";"J";"2459415";"NE.21.10.PG.J.2459415";"daily";1;"An. maculipennis s.l.";"female";1;"0"
"957";1306;"NE";21;10;"PG";"J";"2459415";"NE.21.10.PG.J.2459415";"daily";1;"Ae. albopictus";"male";9;"0"
"958";1307;"NE";21;10;"PG";"J";"2459384";"NE.21.10.PG.J.2459384";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"959";1308;"NE";21;10;"PG";"J";"2459384";"NE.21.10.PG.J.2459384";"daily";1;"Ae. vexans";"female";2;"0"
"960";1309;"NE";21;10;"PG";"J";"2459384";"NE.21.10.PG.J.2459384";"daily";1;"Ae. caspius";"female";1;"0"
"961";1310;"NE";21;10;"PG";"J";"2459384";"NE.21.10.PG.J.2459384";"daily";1;"Ae. albopictus";"female";1;"0"
"962";1311;"NE";21;10;"PG";"J";"2459408";"NE.21.10.PG.J.2459408";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"963";1312;"NE";21;10;"PG";"J";"2459408";"NE.21.10.PG.J.2459408";"daily";1;"Ae. vexans";"female";3;"0"
"964";1313;"NE";21;10;"PG";"J";"2459408";"NE.21.10.PG.J.2459408";"daily";1;"Ae. albopictus";"female";8;"0"
"965";1314;"NE";21;10;"PG";"J";"2459420";"NE.21.10.PG.J.2459420";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"966";1315;"NE";21;10;"PG";"J";"2459420";"NE.21.10.PG.J.2459420";"daily";1;"Ae. vexans";"female";2;"0"
"967";1316;"NE";21;10;"PG";"J";"2459420";"NE.21.10.PG.J.2459420";"daily";1;"Ae. albopictus";"female";2;"0"
"968";1317;"NE";21;10;"PG";"J";"2459420";"NE.21.10.PG.J.2459420";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"969";1318;"NE";21;10;"PG";"J";"2459416";"NE.21.10.PG.J.2459416";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"970";1319;"NE";21;10;"PG";"J";"2459416";"NE.21.10.PG.J.2459416";"daily";1;"Ae. vexans";"female";5;"0"
"971";1320;"NE";21;10;"PG";"J";"2459416";"NE.21.10.PG.J.2459416";"daily";1;"Ae. cinereus";"female";1;"7"
"972";1321;"NE";21;10;"PG";"J";"2459416";"NE.21.10.PG.J.2459416";"daily";1;"Ae. albopictus";"female";2;"0"
"973";1322;"NE";21;10;"PG";"J";"2459416";"NE.21.10.PG.J.2459416";"daily";1;"Ae. spec.";"female";1;"0"
"974";1323;"NE";21;10;"PG";"J";"2459411";"NE.21.10.PG.J.2459411";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"975";1324;"NE";21;10;"PG";"J";"2459411";"NE.21.10.PG.J.2459411";"daily";1;"Ae. albopictus";"female";3;"0"
"976";1325;"NE";21;10;"PG";"J";"2459406";"NE.21.10.PG.J.2459406";"daily";1;"Cq. richiardii";"female";1;"0"
"977";1326;"NE";21;10;"PG";"J";"2459406";"NE.21.10.PG.J.2459406";"daily";1;"Ae. albopictus";"female";18;"0"
"978";1327;"NE";21;10;"PG";"J";"2459419";"NE.21.10.PG.J.2459419";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"979";1328;"NE";21;10;"PG";"J";"2459419";"NE.21.10.PG.J.2459419";"daily";1;"Ae. albopictus";"male";1;"0"
"980";1329;"NE";21;10;"PG";"J";"2459419";"NE.21.10.PG.J.2459419";"daily";1;"Cx. pipiens s.l.";"female";3;"7"
"981";1330;"NE";21;10;"PG";"J";"2459418";"NE.21.10.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"982";1331;"NE";21;10;"PG";"J";"2459418";"NE.21.10.PG.J.2459418";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"983";1332;"NE";21;10;"PG";"J";"2459418";"NE.21.10.PG.J.2459418";"daily";1;"Ae. sticticus";"female";2;"0"
"984";1333;"NE";21;10;"PG";"J";"2459417";"NE.21.10.PG.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"985";1334;"NE";21;10;"PG";"J";"2459417";"NE.21.10.PG.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"986";1335;"NE";21;10;"PG";"J";"2459417";"NE.21.10.PG.J.2459417";"daily";1;"Ae. sticticus";"female";3;"0"
"987";1336;"NE";21;10;"PG";"J";"2459417";"NE.21.10.PG.J.2459417";"daily";1;"Ae. vexans";"female";6;"0"
"988";1346;"NE";21;9;"PR";"J";"2459496";"NE.21.9.PR.J.2459496";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"989";1347;"NE";21;9;"PR";"J";"2459496";"NE.21.9.PR.J.2459496";"daily";1;"An. plumbeus";"female";1;"0"
"990";1348;"NE";21;9;"PR";"J";"2459507";"NE.21.9.PR.J.2459507";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"991";1349;"NE";21;9;"PR";"J";"2459498";"NE.21.9.PR.J.2459498";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"992";1350;"NE";21;9;"PR";"J";"2459497";"NE.21.9.PR.J.2459497";"daily";1;"Ae. japonicus";"female";1;"0"
"993";1351;"NE";21;9;"PR";"J";"2459499";"NE.21.9.PR.J.2459499";"daily";1;"Cx. spec.";"female";1;"0"
"994";1352;"NE";21;9;"PR";"J";"2459500";"NE.21.9.PR.J.2459500";"daily";2;"0";"0";0;"0"
"995";1353;"NE";21;9;"PR";"J";"2459505";"NE.21.9.PR.J.2459505";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"996";1354;"NE";21;9;"PR";"J";"2459505";"NE.21.9.PR.J.2459505";"daily";1;"Cx. spec.";"female";1;"0"
"997";1355;"NE";21;9;"PR";"J";"2459504";"NE.21.9.PR.J.2459504";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"998";1356;"NE";21;9;"PR";"J";"2459504";"NE.21.9.PR.J.2459504";"daily";1;"Cx. spec.";"female";1;"0"
"999";1357;"NE";21;9;"PR";"J";"2459506";"NE.21.9.PR.J.2459506";"daily";1;"0";"0";0;"0"
"1000";1358;"NE";21;9;"PR";"J";"2459503";"NE.21.9.PR.J.2459503";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"1001";1359;"NE";21;9;"PR";"J";"2459503";"NE.21.9.PR.J.2459503";"daily";1;"Ae. vexans";"female";1;"0"
"1002";1360;"NE";21;9;"PR";"J";"2459490";"NE.21.9.PR.J.2459490";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"1003";1361;"NE";21;9;"PR";"J";"2459490";"NE.21.9.PR.J.2459490";"daily";1;"Ae. japonicus";"female";2;"0"
"1004";1362;"NE";21;9;"PR";"J";"2459492";"NE.21.9.PR.J.2459492";"daily";4;"Cx. pipiens s.l.";"female";9;"0"
"1005";1363;"NE";21;9;"PR";"J";"2459492";"NE.21.9.PR.J.2459492";"daily";4;"Ae. spec.";"female";1;"0"
"1006";1364;"NE";21;9;"PR";"J";"2459491";"NE.21.9.PR.J.2459491";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"1007";1365;"NE";21;9;"PR";"J";"2459491";"NE.21.9.PR.J.2459491";"daily";1;"An. maculipennis s.l.";"female";1;"0"
"1008";1366;"NE";21;9;"PR";"J";"2459491";"NE.21.9.PR.J.2459491";"daily";1;"Ae. japonicus";"female";1;"0"
"1009";1367;"NE";21;9;"PR";"J";"2459488";"NE.21.9.PR.J.2459488";"daily";1;"0";"0";0;"0"
"1010";1368;"NE";21;9;"PR";"J";"2459489";"NE.21.9.PR.J.2459489";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"1011";1369;"NE";21;9;"PR";"J";"2459487";"NE.21.9.PR.J.2459487";"daily";1;"Ae. vexans";"female";1;"0"
"1012";1370;"NE";21;9;"PR";"J";"2459487";"NE.21.9.PR.J.2459487";"daily";1;"Ae. japonicus";"female";1;"0"
"1013";1371;"NE";21;9;"PR";"J";"2459439";"NE.21.9.PR.J.2459439";"daily";2;"Cx. pipiens s.l.";"female";16;"0"
"1014";1372;"NE";21;9;"PR";"J";"2459439";"NE.21.9.PR.J.2459439";"daily";2;"Cx. spec.";"female";4;"0"
"1015";1373;"NE";21;9;"PR";"J";"2459439";"NE.21.9.PR.J.2459439";"daily";2;"Ae. sticticus";"female";1;"0"
"1016";1374;"NE";21;9;"PR";"J";"2459439";"NE.21.9.PR.J.2459439";"daily";2;"Cx. pipiens s.l.";"female";5;"7"
"1017";1375;"NE";21;9;"PR";"J";"2459439";"NE.21.9.PR.J.2459439";"daily";2;"Cx. pipiens s.l.";"female";7;"2"
"1018";1376;"NE";21;9;"PR";"J";"2459441";"NE.21.9.PR.J.2459441";"daily";3;"Cx. pipiens s.l.";"female";24;"0"
"1019";1377;"NE";21;9;"PR";"J";"2459441";"NE.21.9.PR.J.2459441";"daily";3;"Cx. spec.";"female";6;"0"
"1020";1378;"NE";21;9;"PR";"J";"2459441";"NE.21.9.PR.J.2459441";"daily";3;"An. plumbeus";"female";1;"0"
"1021";1379;"NE";21;9;"PR";"J";"2459441";"NE.21.9.PR.J.2459441";"daily";3;"Ae. vexans";"female";10;"0"
"1022";1380;"NE";21;9;"PR";"J";"2459441";"NE.21.9.PR.J.2459441";"daily";3;"Cx. pipiens s.l.";"female";8;"7"
"1023";1381;"NE";21;1;"PG";"J";"2459451";"NE.21.1.PG.J.2459451";"daily";1;"Cx. pipiens s.l.";"female";15;"0"
"1024";1382;"NE";21;1;"PG";"J";"2459451";"NE.21.1.PG.J.2459451";"daily";1;"Cx. pipiens s.l.";"female";4;"7"
"1025";1383;"NE";21;1;"PG";"J";"2459451";"NE.21.1.PG.J.2459451";"daily";1;"Cx. spec.";"female";2;"0"
"1026";1384;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"Cx. pipiens s.l.";"female";25;"0"
"1027";1385;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"Cx. pipiens s.l.";"female";4;"0"
"1028";1386;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"Cx. spec.";"female";25;"0"
"1029";1387;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"Cx. spec.";"female";4;"0"
"1030";1388;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"Culicidae";"female";6;"0"
"1031";1389;"NE";21;1;"PG";"J";"2459485";"NE.21.1.PG.J.2459485";"daily";4;"An. spec.";"female";2;"0"
"1032";1390;"NE";21;1;"PG";"J";"2459476";"NE.21.1.PG.J.2459476";"daily";1;"Cx. pipiens s.l.";"female";22;"0"
"1033";1391;"NE";21;1;"PG";"J";"2459476";"NE.21.1.PG.J.2459476";"daily";1;"Cx. spec.";"female";18;"0"
"1034";1392;"NE";21;1;"PG";"J";"2459476";"NE.21.1.PG.J.2459476";"daily";1;"An. spec.";"female";1;"0"
"1035";1393;"NE";21;1;"PG";"J";"2459476";"NE.21.1.PG.J.2459476";"daily";1;"Culicidae";"female";8;"0"
"1036";1394;"NE";21;1;"PG";"J";"2459476";"NE.21.1.PG.J.2459476";"daily";1;"Culicidae";"female";5;"7"
"1037";1395;"NE";21;1;"PG";"J";"2459474";"NE.21.1.PG.J.2459474";"daily";2;"Cx. pipiens s.l.";"female";13;"0"
"1038";1396;"NE";21;1;"PG";"J";"2459474";"NE.21.1.PG.J.2459474";"daily";2;"Cx. spec.";"female";11;"0"
"1039";1397;"NE";21;1;"PR";"J";"2459473";"NE.21.1.PR.J.2459473";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"1040";1398;"NE";21;1;"PR";"J";"2459473";"NE.21.1.PR.J.2459473";"daily";1;"Cx. spec.";"female";2;"0"
"1041";1399;"NE";21;1;"PG";"J";"2459446";"NE.21.1.PG.J.2459446";"daily";1;"Cx. pipiens s.l.";"female";3;"0"
"1042";1400;"NE";21;1;"PG";"J";"2459446";"NE.21.1.PG.J.2459446";"daily";1;"Cx. spec.";"female";4;"0"
"1043";1401;"NE";21;1;"PG";"J";"2459446";"NE.21.1.PG.J.2459446";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"1044";1402;"NE";21;1;"PG";"J";"2459446";"NE.21.1.PG.J.2459446";"daily";1;"Culicidae";"female";2;"0"
"1045";1403;"NE";21;1;"PG";"J";"2459444";"NE.21.1.PG.J.2459444";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"1046";1404;"NE";21;1;"PG";"J";"2459444";"NE.21.1.PG.J.2459444";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"1047";1405;"NE";21;1;"PG";"J";"2459447";"NE.21.1.PG.J.2459447";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"1048";1406;"NE";21;1;"PG";"J";"2459447";"NE.21.1.PG.J.2459447";"daily";1;"Cx. spec.";"female";4;"0"
"1049";1407;"NE";21;1;"PG";"J";"2459447";"NE.21.1.PG.J.2459447";"daily";1;"Culicidae";"female";1;"0"
"1050";1408;"NE";21;1;"PG";"J";"2459447";"NE.21.1.PG.J.2459447";"daily";1;"Cx. pipiens s.l.";"female";19;"7"
"1051";1409;"NE";21;1;"PG";"J";"2459445";"NE.21.1.PG.J.2459445";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"1052";1410;"NE";21;1;"PG";"J";"2459445";"NE.21.1.PG.J.2459445";"daily";1;"Cx. spec.";"female";2;"0"
"1053";1411;"NE";21;1;"PG";"J";"2459445";"NE.21.1.PG.J.2459445";"daily";1;"Cx. pipiens s.l.";"female";7;"7"
"1054";1412;"NE";21;1;"PG";"J";"2459445";"NE.21.1.PG.J.2459445";"daily";1;"Culicidae";"female";1;"0"
"1055";1413;"NE";21;1;"PG";"J";"2459454";"NE.21.1.PG.J.2459454";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"1056";1414;"NE";21;1;"PG";"J";"2459454";"NE.21.1.PG.J.2459454";"daily";1;"Cx. pipiens s.l.";"female";3;"7"
"1057";1415;"NE";21;1;"PG";"J";"2459461";"NE.21.1.PG.J.2459461";"daily";1;"Cx. pipiens s.l.";"female";9;"0"
"1058";1416;"NE";21;1;"PG";"J";"2459461";"NE.21.1.PG.J.2459461";"daily";1;"Cx. spec.";"female";4;"0"
"1059";1417;"NE";21;1;"PG";"J";"2459461";"NE.21.1.PG.J.2459461";"daily";1;"Cx. pipiens s.l.";"female";2;"7"
"1060";1418;"NE";21;1;"PG";"J";"2459461";"NE.21.1.PG.J.2459461";"daily";1;"Cs. annulata";"female";1;"0"
"1061";1419;"NE";21;1;"PR";"J";"2459452";"NE.21.1.PR.J.2459452";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"1062";1420;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1063";1421;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1064";1422;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1065";1423;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. spec.";"female";25;"0"
"1066";1424;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. spec.";"female";25;"0"
"1067";1425;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1068";1426;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1069";1427;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1070";1428;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1071";1429;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1072";1430;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. spec.";"female";25;"0"
"1073";1431;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1074";1432;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1075";1433;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";25;"0"
"1076";1434;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. spec.";"female";25;"0"
"1077";1435;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1078";1436;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1079";1437;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";25;"0"
"1080";1438;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";11;"0"
"1081";1439;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. spec.";"female";18;"0"
"1082";1440;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cx. pipiens s.l.";"female";2;"7"
"1083";1441;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Culicidae";"female";20;"0"
"1084";1442;"NE";21;2;"PG";"J";"2459465";"NE.21.2.PG.J.2459465";"daily";13;"Cs. annulata";"female";1;"0"
"1085";1443;"NE";21;1;"PR";"J";"2459450";"NE.21.1.PR.J.2459450";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"1086";1444;"NE";21;1;"PR";"J";"2459450";"NE.21.1.PR.J.2459450";"daily";1;"Culicidae";"female";1;"0"
"1087";1445;"NE";21;1;"PG";"J";"2459438";"NE.21.1.PG.J.2459438";"daily";1;"Cx. pipiens s.l.";"female";8;"0"
"1088";1446;"NE";21;1;"PG";"J";"2459438";"NE.21.1.PG.J.2459438";"daily";1;"Cx. spec.";"female";8;"0"
"1089";1447;"NE";21;1;"PG";"J";"2459438";"NE.21.1.PG.J.2459438";"daily";1;"Culicidae";"female";8;"0"
"1090";1448;"NE";21;1;"PG";"J";"2459438";"NE.21.1.PG.J.2459438";"daily";1;"Cx. pipiens s.l.";"female";25;"7"
"1091";1449;"NE";21;1;"PG";"J";"2459438";"NE.21.1.PG.J.2459438";"daily";1;"Cx. pipiens s.l.";"female";25;"1"
"1092";1450;"NE";21;1;"PR";"J";"2459434";"NE.21.1.PR.J.2459434";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"1093";1451;"NE";21;1;"PR";"J";"2459434";"NE.21.1.PR.J.2459434";"daily";1;"Cx. spec.";"female";2;"0"
"1094";1452;"NE";21;1;"PR";"J";"2459434";"NE.21.1.PR.J.2459434";"daily";1;"Cs. annulata";"female";3;"0"
"1095";1453;"NE";21;1;"PG";"J";"2459471";"NE.21.1.PG.J.2459471";"daily";1;"Cx. pipiens s.l.";"female";20;"0"
"1096";1454;"NE";21;1;"PG";"J";"2459471";"NE.21.1.PG.J.2459471";"daily";1;"Cx. spec.";"female";6;"0"
"1097";1455;"NE";21;1;"PG";"J";"2459471";"NE.21.1.PG.J.2459471";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"1098";1456;"NE";21;1;"PG";"J";"2459471";"NE.21.1.PG.J.2459471";"daily";1;"Culicidae";"female";2;"0"
"1099";1457;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. pipiens s.l.";"female";25;"0"
"1100";1458;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. pipiens s.l.";"female";25;"0"
"1101";1459;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. pipiens s.l.";"female";19;"0"
"1102";1460;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. spec.";"female";25;"0"
"1103";1461;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. spec.";"female";14;"0"
"1104";1462;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Culicidae";"female";25;"0"
"1105";1463;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Culicidae";"female";4;"0"
"1106";1464;"NE";21;1;"PG";"J";"2459466";"NE.21.1.PG.J.2459466";"daily";4;"Cx. pipiens s.l.";"female";4;"7"
"1107";1465;"NE";21;1;"PR";"J";"2459471";"NE.21.1.PR.J.2459471";"daily";1;"Cx. pipiens s.l.";"female";6;"0"
"1108";1466;"NE";21;1;"PR";"J";"2459471";"NE.21.1.PR.J.2459471";"daily";1;"Cx. spec.";"female";3;"0"
"1109";1467;"NE";21;1;"PR";"J";"2459471";"NE.21.1.PR.J.2459471";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
